tag-soundbite;misc;f12e;[Tag] Soundbite;https://github.com/Podcastindex-org/podcast-namespace;podcasting20certifiedbadge
tag-trailer;misc;f008;[Tag] Trailer;https://github.com/Podcastindex-org/podcast-namespace;podcasting20certifiedbadge
tag-transcript;misc;f20a;[Tag] Transcript;https://github.com/Podcastindex-org/podcast-namespace;podcasting20certifiedbadge
tag-value4value;misc;f0d6;[Tag] Value for Value;https://github.com/Podcastindex-org/podcast-namespace;podcasting20certifiedbadge
tape;misc;f8ab;Cassette Tape;;
thumbsup;misc;f164;Thumbs up;;
tv;misc;f26c;TV;;
upload;misc;f093;Upload;;
user;misc;f007;User;;
volumedown;misc;f027;Volume Down;;
volumemute;misc;f6a9;Volume Mute;;
volumeup;misc;f028;Volume Up;;
world;misc;f0ac;World;;
