edieresis-235;alphabet;00eb;edieresis;;
igrave-236;alphabet;00ec;igrave;;
iacute-237;alphabet;00ed;iacute;;
icircumflex-238;alphabet;00ee;icircumflex;;
idieresis-239;alphabet;00ef;idieresis;;
ntilde-241;alphabet;00f1;ntilde;;
ograve-242;alphabet;00f2;ograve;;
oacute-243;alphabet;00f3;oacute;;
ocircumflex-244;alphabet;00f4;ocircumflex;;
otilde-245;alphabet;00f5;otilde;;
odieresis-246;alphabet;00f6;odieresis;;
oslash-248;alphabet;00f8;oslash;;
ugrave-249;alphabet;00f9;ugrave;;
uacute-250;alphabet;00fa;uacute;;
ucircumflex-251;alphabet;00fb;ucircumflex;;
udieresis-252;alphabet;00fc;udieresis;;
yacute-253;alphabet;00fd;yacute;;
ydieresis-255;alphabet;00ff;ydieresis;;
Abreve-258;alphabet;0102;Abreve;;
abreve-259;alphabet;0103;abreve;;
Gbreve-286;alphabet;011e;Gbreve;;
gbreve-287;alphabet;011f;gbreve;;
Idotaccent-304;alphabet;0130;Idotaccent;;
dotlessi-305;alphabet;0131;dotlessi;;
IJ-306;alphabet;0132;IJ;;
ij-307;alphabet;0133;ij;;
OE-338;alphabet;0152;OE;;
oe-339;alphabet;0153;oe;;
Scedilla-350;alphabet;015e;Scedilla;;
scedilla-351;alphabet;015f;scedilla;;
Wcircumflex-372;alphabet;0174;Wcircumflex;;
wcircumflex-373;alphabet;0175;wcircumflex;;
Ycircumflex-374;alphabet;0176;Ycircumflex;;
ycircumflex-375;alphabet;0177;ycircumflex;;
Ydieresis-376;alphabet;0178;Ydieresis;;
circumflex-710;alphabet;02c6;circumflex;;
breve-728;alphabet;02d8;breve;;
ring-730;alphabet;02da;ring;;
tilde-732;alphabet;02dc;tilde;;
Wgrave-7808;alphabet;1e80;Wgrave;;
wgrave-7809;alphabet;1e81;wgrave;;
Wacute-7810;alphabet;1e82;Wacute;;
wacute-7811;alphabet;1e83;wacute;;
Wdieresis-7812;alphabet;1e84;Wdieresis;;
wdieresis-7813;alphabet;1e85;wdieresis;;
Ygrave-7922;alphabet;1ef2;Ygrave;;
ygrave-7923;alphabet;1ef3;ygrave;;
endash-8211;alphabet;2013;endash;;
emdash-8212;alphabet;2014;emdash;;
quoteleft-8216;alphabet;2018;quoteleft;;
quoteright-8217;alphabet;2019;quoteright;;
quotedblleft-8220;alphabet;201c;quotedblleft;;
quotedblright-8221;alphabet;201d;quotedblright;;
quotedblbase-8222;alphabet;201e;quotedblbase;;
ellipsis-8230;alphabet;2026;ellipsis;;
guilsinglleft-8249;alphabet;2039;guilsinglleft;;
guilsinglright-8250;alphabet;203a;guilsinglright;;
Euro-8364;alphabet;20ac;Euro;;
fi-64257;alphabet;fb01;fi;;
fl-64258;alphabet;fb02;fl;;
notdef-65536;alphabet;10000;notdef;;
